Time,B_BVP,E_Skin_Cond
29.04736328125,39.802,5.675
29.04785156250,39.776,5.675
29.04833984375,39.749,5.675
29.04882812500,39.723,5.675
29.04931640625,39.696,5.675
29.04980468750,39.669,5.675
29.05029296875,39.643,5.675
29.05078125000,39.616,5.675
29.05126953125,39.589,5.675
29.05175781250,39.563,5.675
29.05224609375,39.536,5.675
29.05273437500,39.509,5.675
29.05322265625,39.482,5.675
29.05371093750,39.455,5.675
29.05419921875,39.428,5.675
29.05468750000,39.401,5.675
29.05517578125,39.374,5.674
29.05566406250,39.348,5.674
29.05615234375,39.321,5.674
29.05664062500,39.294,5.674
29.05712890625,39.267,5.674
29.05761718750,39.240,5.674
29.05810546875,39.213,5.674
29.05859375000,39.186,5.674
29.05908203125,39.159,5.674
29.05957031250,39.132,5.674
29.06005859375,39.106,5.674
29.06054687500,39.079,5.674
29.06103515625,39.052,5.674
29.06152343750,39.026,5.674
29.06201171875,38.999,5.674
29.06250000000,38.972,5.674
29.06298828125,38.946,5.674
29.06347656250,38.919,5.674
29.06396484375,38.893,5.674
29.06445312500,38.867,5.674
29.06494140625,38.841,5.674
29.06542968750,38.814,5.674
29.06591796875,38.788,5.674
29.06640625000,38.763,5.674
29.06689453125,38.737,5.674
29.06738281250,38.711,5.674
29.06787109375,38.685,5.674
29.06835937500,38.660,5.674
29.06884765625,38.634,5.674
29.06933593750,38.609,5.674
29.06982421875,38.584,5.674
29.07031250000,38.559,5.674
29.07080078125,38.534,5.673
29.07128906250,38.510,5.673
29.07177734375,38.485,5.673
29.07226562500,38.461,5.673
29.07275390625,38.436,5.673
29.07324218750,38.412,5.673
29.07373046875,38.388,5.673
29.07421875000,38.365,5.673
29.07470703125,38.341,5.673
29.07519531250,38.318,5.673
29.07568359375,38.294,5.673
29.07617187500,38.271,5.673
29.07666015625,38.249,5.673
29.07714843750,38.226,5.673
29.07763671875,38.204,5.673
29.07812500000,38.181,5.673
29.07861328125,38.159,5.673
29.07910156250,38.138,5.673
29.07958984375,38.116,5.673
29.08007812500,38.095,5.673
29.08056640625,38.074,5.673
29.08105468750,38.053,5.673
29.08154296875,38.032,5.673
29.08203125000,38.012,5.673
29.08251953125,37.992,5.673
29.08300781250,37.972,5.673
29.08349609375,37.952,5.673
29.08398437500,37.932,5.673
29.08447265625,37.913,5.673
29.08496093750,37.894,5.673
29.08544921875,37.876,5.673
29.08593750000,37.857,5.673
29.08642578125,37.839,5.672
29.08691406250,37.821,5.672
29.08740234375,37.804,5.672
29.08789062500,37.786,5.672
29.08837890625,37.769,5.672
29.08886718750,37.752,5.672
29.08935546875,37.736,5.672
29.08984375000,37.719,5.672
29.09033203125,37.704,5.672
29.09082031250,37.688,5.672
29.09130859375,37.672,5.672
29.09179687500,37.657,5.672
29.09228515625,37.642,5.672
29.09277343750,37.628,5.672
29.09326171875,37.614,5.672
29.09375000000,37.600,5.672
29.09423828125,37.586,5.672
29.09472656250,37.573,5.672
29.09521484375,37.560,5.672
29.09570312500,37.547,5.672
29.09619140625,37.535,5.672
29.09667968750,37.522,5.672
29.09716796875,37.511,5.672
29.09765625000,37.499,5.672
29.09814453125,37.488,5.671
29.09863281250,37.477,5.671
29.09912109375,37.466,5.671
29.09960937500,37.456,5.671
29.10009765625,37.446,5.671
29.10058593750,37.436,5.671
29.10107421875,37.427,5.671
29.10156250000,37.418,5.671
29.10205078125,37.409,5.671
29.10253906250,37.401,5.671
29.10302734375,37.393,5.671
29.10351562500,37.385,5.671
29.10400390625,37.378,5.671
29.10449218750,37.371,5.671
29.10498046875,37.364,5.671
29.10546875000,37.357,5.671
29.10595703125,37.351,5.671
29.10644531250,37.345,5.671
29.10693359375,37.339,5.671
29.10742187500,37.334,5.671
29.10791015625,37.329,5.671
29.10839843750,37.325,5.671
29.10888671875,37.320,5.671
29.10937500000,37.316,5.671
29.10986328125,37.312,5.671
29.11035156250,37.309,5.671
29.11083984375,37.306,5.671
29.11132812500,37.303,5.671
29.11181640625,37.301,5.671
29.11230468750,37.298,5.671
29.11279296875,37.296,5.671
29.11328125000,37.295,5.671
29.11376953125,37.293,5.670
29.11425781250,37.292,5.670
29.11474609375,37.292,5.670
29.11523437500,37.291,5.670
29.11572265625,37.291,5.670
29.11621093750,37.291,5.670
29.11669921875,37.292,5.670
29.11718750000,37.292,5.670
29.11767578125,37.293,5.670
29.11816406250,37.294,5.670
29.11865234375,37.296,5.670
29.11914062500,37.298,5.670
29.11962890625,37.300,5.670
29.12011718750,37.302,5.670
29.12060546875,37.304,5.670
29.12109375000,37.307,5.670
29.12158203125,37.310,5.670
29.12207031250,37.313,5.670
29.12255859375,37.317,5.670
29.12304687500,37.321,5.670
29.12353515625,37.325,5.670
29.12402343750,37.329,5.670
29.12451171875,37.334,5.670
29.12500000000,37.338,5.670
29.12548828125,37.343,5.669
29.12597656250,37.348,5.669
29.12646484375,37.354,5.669
29.12695312500,37.359,5.669
29.12744140625,37.365,5.669
29.12792968750,37.371,5.669
29.12841796875,37.378,5.669
29.12890625000,37.384,5.669
29.12939453125,37.391,5.669
29.12988281250,37.397,5.669
29.13037109375,37.405,5.669
29.13085937500,37.412,5.669
29.13134765625,37.419,5.669
29.13183593750,37.427,5.669
29.13232421875,37.434,5.669
29.13281250000,37.442,5.669
29.13330078125,37.451,5.669
29.13378906250,37.459,5.669
29.13427734375,37.467,5.669
29.13476562500,37.476,5.669
29.13525390625,37.485,5.669
29.13574218750,37.493,5.669
29.13623046875,37.502,5.669
29.13671875000,37.512,5.669
29.13720703125,37.521,5.668
29.13769531250,37.530,5.668
29.13818359375,37.540,5.668
29.13867187500,37.550,5.668
29.13916015625,37.559,5.668
29.13964843750,37.569,5.668
29.14013671875,37.579,5.668
29.14062500000,37.589,5.668
29.14111328125,37.600,5.668
29.14160156250,37.610,5.668
29.14208984375,37.621,5.668
29.14257812500,37.631,5.668
29.14306640625,37.642,5.668
29.14355468750,37.652,5.668
29.14404296875,37.663,5.668
29.14453125000,37.674,5.668
29.14501953125,37.685,5.668
29.14550781250,37.696,5.668
29.14599609375,37.707,5.668
29.14648437500,37.718,5.668
29.14697265625,37.729,5.668
29.14746093750,37.740,5.668
29.14794921875,37.752,5.668
29.14843750000,37.763,5.668
29.14892578125,37.774,5.667
29.14941406250,37.785,5.667
29.14990234375,37.797,5.667
29.15039062500,37.808,5.667
29.15087890625,37.820,5.667
29.15136718750,37.831,5.667
29.15185546875,37.842,5.667
29.15234375000,37.854,5.667
29.15283203125,37.865,5.667
29.15332031250,37.877,5.667
29.15380859375,37.888,5.667
29.15429687500,37.899,5.667
29.15478515625,37.911,5.667
29.15527343750,37.922,5.667
29.15576171875,37.933,5.667
29.15625000000,37.945,5.667
29.15673828125,37.956,5.667
29.15722656250,37.967,5.667
29.15771484375,37.978,5.667
29.15820312500,37.989,5.667
29.15869140625,38.000,5.667
29.15917968750,38.011,5.667
29.15966796875,38.022,5.667
29.16015625000,38.033,5.667
29.16064453125,38.044,5.667
29.16113281250,38.055,5.667
29.16162109375,38.065,5.667
29.16210937500,38.076,5.667
29.16259765625,38.086,5.667
29.16308593750,38.097,5.667
29.16357421875,38.107,5.667
29.16406250000,38.117,5.667
29.16455078125,38.127,5.666
29.16503906250,38.137,5.666
29.16552734375,38.147,5.666
29.16601562500,38.157,5.666
29.16650390625,38.167,5.666
29.16699218750,38.176,5.666
29.16748046875,38.186,5.666
29.16796875000,38.195,5.666
29.16845703125,38.204,5.666
29.16894531250,38.213,5.666
29.16943359375,38.222,5.666
29.16992187500,38.231,5.666
29.17041015625,38.240,5.666
29.17089843750,38.248,5.666
29.17138671875,38.257,5.666
29.17187500000,38.265,5.666
29.17236328125,38.273,5.665
29.17285156250,38.281,5.665
29.17333984375,38.289,5.665
29.17382812500,38.296,5.665
29.17431640625,38.304,5.665
29.17480468750,38.311,5.665
29.17529296875,38.318,5.665
29.17578125000,38.325,5.665
29.17626953125,38.332,5.665
29.17675781250,38.339,5.665
29.17724609375,38.345,5.665
29.17773437500,38.352,5.665
29.17822265625,38.358,5.665
29.17871093750,38.364,5.665
29.17919921875,38.370,5.665
29.17968750000,38.375,5.665
29.18017578125,38.381,5.665
29.18066406250,38.386,5.665
29.18115234375,38.391,5.665
29.18164062500,38.396,5.665
29.18212890625,38.400,5.665
29.18261718750,38.405,5.665
29.18310546875,38.409,5.665
29.18359375000,38.413,5.665
29.18408203125,38.417,5.665
29.18457031250,38.421,5.665
29.18505859375,38.424,5.665
29.18554687500,38.427,5.665
29.18603515625,38.430,5.665
29.18652343750,38.433,5.665
29.18701171875,38.436,5.665
29.18750000000,38.438,5.665
29.18798828125,38.441,5.664
29.18847656250,38.443,5.664
29.18896484375,38.444,5.664
29.18945312500,38.446,5.664
29.18994140625,38.447,5.664
29.19042968750,38.448,5.664
29.19091796875,38.449,5.664
29.19140625000,38.450,5.664
29.19189453125,38.451,5.664
29.19238281250,38.451,5.664
29.19287109375,38.451,5.664
29.19335937500,38.451,5.664
29.19384765625,38.450,5.664
29.19433593750,38.450,5.664
29.19482421875,38.449,5.664
29.19531250000,38.448,5.664
29.19580078125,38.446,5.664
29.19628906250,38.445,5.664
29.19677734375,38.443,5.664
29.19726562500,38.441,5.664
29.19775390625,38.439,5.664
29.19824218750,38.437,5.664
29.19873046875,38.434,5.664
29.19921875000,38.432,5.664
29.19970703125,38.429,5.663
29.20019531250,38.425,5.663
29.20068359375,38.422,5.663
29.20117187500,38.418,5.663
29.20166015625,38.415,5.663
29.20214843750,38.410,5.663
29.20263671875,38.406,5.663
29.20312500000,38.402,5.663
29.20361328125,38.397,5.663
29.20410156250,38.392,5.663
29.20458984375,38.387,5.663
29.20507812500,38.382,5.663
29.20556640625,38.376,5.663
29.20605468750,38.371,5.663
29.20654296875,38.365,5.663
29.20703125000,38.359,5.663
29.20751953125,38.352,5.663
29.20800781250,38.346,5.663
29.20849609375,38.339,5.663
29.20898437500,38.332,5.663
29.20947265625,38.325,5.663
29.20996093750,38.318,5.663
29.21044921875,38.310,5.663
29.21093750000,38.303,5.663
29.21142578125,38.295,5.662
29.21191406250,38.287,5.662
29.21240234375,38.279,5.662
29.21289062500,38.270,5.662
29.21337890625,38.261,5.662
29.21386718750,38.253,5.662
29.21435546875,38.244,5.662
29.21484375000,38.235,5.662
29.21533203125,38.225,5.662
29.21582031250,38.216,5.662
29.21630859375,38.206,5.662
29.21679687500,38.196,5.662
29.21728515625,38.186,5.662
29.21777343750,38.176,5.662
29.21826171875,38.166,5.662
29.21875000000,38.155,5.662
29.21923828125,38.145,5.662
29.21972656250,38.134,5.662
29.22021484375,38.123,5.662
29.22070312500,38.112,5.662
29.22119140625,38.100,5.662
29.22167968750,38.089,5.662
29.22216796875,38.077,5.662
29.22265625000,38.065,5.662
29.22314453125,38.053,5.662
29.22363281250,38.041,5.662
